CONF	|P|	max_gen	n_m	n_c	k1(non-cloned_solutions)	k2(cloned_solutions)	|B|	life_span	seed
1	100	500	0.830000	0.200000	1.300000	4.000000	0.100000	10	1
Instancias 	 L2 	 Bins 	 Gen 	 Time
N2c1w4_m.txt 	 71 	 72 	 5 	 0.016000
N2c1w4_n.txt 	 71 	 71 	 0 	 0.000000
N2c1w4_o.txt 	 80 	 80 	 0 	 0.000000
N2c1w4_p.txt 	 67 	 67 	 0 	 0.000000
N2c1w4_q.txt 	 75 	 75 	 0 	 0.000000
N2c1w4_r.txt 	 70 	 70 	 0 	 0.000000
N2c1w4_s.txt 	 80 	 80 	 0 	 0.000000
N2c1w4_t.txt 	 70 	 70 	 0 	 0.000000
N2c2w1_a.txt 	 41 	 42 	 84 	 0.202000
N2c2w1_b.txt 	 50 	 50 	 0 	 0.000000
N2c2w1_c.txt 	 40 	 40 	 0 	 0.000000
N2c2w1_d.txt 	 42 	 42 	 0 	 0.000000
N2c2w1_e.txt 	 40 	 40 	 0 	 0.016000
N2c2w1_f.txt 	 49 	 49 	 0 	 0.000000
N2c2w1_g.txt 	 45 	 45 	 0 	 0.000000
N2c2w1_h.txt 	 45 	 46 	 30 	 0.093000
N2c2w1_i.txt 	 44 	 45 	 97 	 0.250000
N2c2w1_j.txt 	 42 	 42 	 0 	 0.000000
N2c2w1_k.txt 	 41 	 41 	 0 	 0.000000
N2c2w1_l.txt 	 49 	 49 	 0 	 0.000000
N2c2w1_m.txt 	 43 	 44 	 28 	 0.094000
